branchNo,branch_fbus,branch_tbus,branch_b,branch_rateA,branch_rateC
1, 2, 1, -322.5806, 76.5, 0
2, 44, 1, -19.8807, 320.29, 0
3, 421, 1, -19.3798, 320.29, 0
4, 4, 3, -285.7143, 225.06, 0
5, 62, 3, -38.3142, 320.29, 0
6, 3, 479, -14.3472, 320.29, 0
7, 6, 5, -277.7778, 4.49, 0
8, 316, 5, -42.5532, 320.29, 0
9, 401, 5, -21.3220, 320.29, 0
10, 8, 7, -77.5194, 567, 0
11, 9, 7, -73.5294, 680, 0
12, 9, 7, -73.5294, 680, 0
13, 7, 232, -67.5676, 1493.89, 0
14, 7, 262, -72.9927, 1493.89, 0
15, 8, 287, -27.9330, 320.29, 0
16, 8, 457, -52.6316, 320.29, 0
17, 11, 10, -312.5000, 3.96, 0
18, 342, 10, -36.9004, 320.29, 0
19, 10, 349, -74.0741, 320.29, 0
20, 13, 12, -322.5806, 65.5, 0
21, 12, 216, -26.3158, 320.29, 0
22, 12, 304, -47.1698, 320.29, 0
23, 12, 441, -66.6667, 320.29, 0
24, 15, 14, -89.2857, 682, 0
25, 16, 14, -83.3333, 596, 0
26, 17, 14, -69.4444, 674, 0
27, 17, 14, -69.4444, 674, 0
28, 18, 14, -19.5312, 340, 0
29, 386, 14, -222.2222, 1493.89, 0
30, 386, 14, -217.3913, 1493.9, 0
31, 15, 91, -21.6920, 320.29, 0
32, 15, 230, -9.5602, 320.29, 0
33, 367, 15, -54.3478, 320.29, 0
34, 15, 369, -58.8235, 320.29, 0
35, 15, 473, -11.8203, 320.29, 0
36, 20, 19, -256.4103, 7.53, 0
37, 19, 112, -22.0751, 320.29, 0
38, 193, 19, -46.9484, 320.29, 0
39, 19, 272, -45.4545, 320.29, 0
40, 22, 21, -312.5000, 254.15, 0
41, 21, 112, -20.4499, 320.29, 0
42, 21, 196, -49.5050, 320.29, 0
43, 24, 23, -56.8182, 626, 0
44, 151, 23, -384.6154, 1493.89, 0
45, 23, 386, -41.8410, 1493.89, 0
46, 23, 464, -80.0000, 1493.89, 0
47, 23, 471, -142.8571, 1493.89, 0
48, 25, 24, -277.7778, 3.56, 0
49, 26, 24, -270.2703, 29.46, 0
50, 210, 24, -49.2611, 320.29, 0
51, 24, 360, -44.0529, 320.29, 0
52, 28, 27, -250.0000, 108.61, 0
53, 27, 68, -18.5874, 320.29, 0
54, 27, 382, -32.3625, 320.29, 0
55, 30, 29, -303.0303, 156.98, 0
56, 454, 29, -44.0529, 320.29, 0
57, 29, 491, -18.5874, 320.29, 0
58, 32, 31, -294.1176, 15.7, 0
59, 31, 85, -19.6464, 320.29, 0
60, 104, 31, -18.8324, 320.29, 0
61, 31, 189, -18.2482, 320.29, 0
62, 31, 205, -13.3511, 320.29, 0
63, 31, 218, -12.5945, 320.29, 0
64, 267, 31, -21.2766, 320.29, 0
65, 34, 33, -303.0303, 43.35, 0
66, 83, 33, -19.6850, 320.29, 0
67, 112, 33, -14.7493, 320.29, 0
68, 36, 35, -333.3333, 62.87, 0
69, 191, 35, -27.0270, 320.29, 0
70, 35, 399, -18.4843, 320.29, 0
71, 38, 37, -263.1579, 0.18, 0
72, 76, 37, -70.4225, 320.29, 0
73, 37, 176, -34.2466, 320.29, 0
74, 40, 39, -39.5257, 428, 0
75, 39, 332, -172.4138, 1493.89, 0
76, 39, 428, -144.9275, 1493.89, 0
77, 41, 40, -256.4103, 97.47, 0
78, 40, 131, -37.4532, 320.29, 0
79, 43, 42, -322.5806, 7.7, 0
80, 81, 42, -46.0829, 320.29, 0
81, 42, 191, -17.1233, 320.29, 0
82, 45, 44, -256.4103, 2.84, 0
83, 44, 200, -51.8135, 320.29, 0
84, 47, 46, -285.7143, 63, 0
85, 46, 156, -15.7480, 320.29, 0
86, 238, 46, -33.2226, 320.29, 0
87, 49, 48, -3.5907, 57, 0
88, 50, 48, -6.1125, 70, 0
89, 51, 48, -270.2703, 0.56, 0
90, 52, 48, -303.0303, 37.95, 0
91, 358, 48, -24.2131, 320.29, 0
92, 419, 48, -22.4719, 320.29, 0
93, 54, 53, -322.5806, 51.27, 0
94, 233, 53, -46.0829, 320.29, 0
95, 53, 276, -69.4444, 320.29, 0
96, 56, 55, -303.0303, 3.15, 0
97, 55, 66, -24.0385, 320.29, 0
98, 55, 500, -24.3309, 320.29, 0
99, 58, 57, -56.8182, 675, 0
100, 58, 57, -56.8182, 675, 0
101, 57, 123, -40.9836, 1493.89, 0
102, 440, 57, -114.9425, 1493.89, 0
103, 59, 58, -263.1579, 252.93, 0
104, 58, 253, -22.9885, 320.29, 0
105, 322, 58, -51.5464, 320.29, 0
106, 322, 58, -51.5464, 320.3, 0
107, 61, 60, -285.7143, 0.32, 0
108, 60, 131, -54.9451, 320.29, 0
109, 466, 60, -51.8135, 320.29, 0
110, 63, 62, -6.1162, 70, 0
111, 64, 62, -303.0303, 45.58, 0
112, 287, 62, -19.0840, 320.29, 0
113, 62, 457, -14.3266, 320.29, 0
114, 66, 65, -32.3625, 405, 0
115, 80, 65, -72.4638, 1493.89, 0
116, 65, 297, -75.7576, 1493.89, 0
117, 67, 66, -294.1176, 6.71, 0
118, 66, 308, -14.4928, 320.29, 0
119, 69, 68, -250.0000, 27.64, 0
120, 68, 295, -24.3902, 320.29, 0
121, 68, 314, -57.8035, 320.29, 0
122, 71, 70, -22.3714, 133, 0
123, 72, 70, -6.9061, 60, 0
124, 73, 70, -3.6630, 49, 0
125, 216, 70, -42.0168, 320.29, 0
126, 70, 490, -51.2821, 320.29, 0
127, 75, 74, -303.0303, 8.81, 0
128, 74, 189, -18.4843, 320.29, 0
129, 240, 74, -24.5700, 320.29, 0
130, 77, 76, -303.0303, 12.16, 0
131, 452, 76, -51.8135, 320.29, 0
132, 79, 78, -303.0303, 0.52, 0
133, 78, 328, -20.0803, 320.29, 0
134, 78, 387, -44.2478, 320.29, 0
135, 81, 80, -28.7356, 529, 0
136, 82, 80, -32.1543, 628, 0
137, 407, 80, -92.5926, 1493.89, 0
138, 149, 81, -37.8788, 320.29, 0
139, 84, 83, -270.2703, 105.41, 0
140, 83, 342, -25.3165, 320.29, 0
141, 86, 85, -256.4103, 30.04, 0
142, 272, 85, -24.6914, 320.29, 0
143, 88, 87, -277.7778, 7.69, 0
144, 87, 141, -56.4972, 320.29, 0
145, 87, 143, -28.5714, 320.29, 0
146, 423, 87, -56.8182, 320.29, 0
147, 90, 89, -256.4103, 10.48, 0
148, 89, 187, -49.2611, 320.29, 0
149, 89, 457, -12.0919, 320.29, 0
150, 92, 91, -277.7778, 104.24, 0
151, 91, 133, -20.6612, 320.29, 0
152, 94, 93, -303.0303, 8.18, 0
153, 269, 93, -27.7778, 320.29, 0
154, 336, 93, -18.7970, 320.29, 0
155, 96, 95, -303.0303, 56.18, 0
156, 95, 170, -49.2611, 320.29, 0
157, 95, 369, -25.4453, 320.29, 0
158, 98, 97, -250.0000, 66.43, 0
159, 181, 97, -34.8432, 320.29, 0
160, 358, 97, -40.6504, 320.29, 0
161, 100, 99, -277.7778, 22.69, 0
162, 101, 99, -303.0303, 1.37, 0
163, 99, 465, -38.7597, 320.29, 0
164, 472, 99, -31.3480, 320.29, 0
165, 103, 102, -256.4103, 64.6, 0
166, 102, 308, -18.4162, 320.29, 0
167, 419, 102, -28.6533, 320.29, 0
168, 105, 104, -263.1579, 144.23, 0
169, 104, 191, -21.0526, 320.29, 0
170, 107, 106, -312.5000, 24.46, 0
171, 106, 191, -23.3100, 320.29, 0
172, 236, 106, -33.4448, 320.29, 0
173, 109, 108, -333.3333, 62.91, 0
174, 108, 472, -51.2821, 320.29, 0
175, 108, 495, -28.8184, 320.29, 0
176, 111, 110, -270.2703, 87.02, 0
177, 274, 110, -33.3333, 320.29, 0
178, 110, 316, -30.3030, 320.29, 0
179, 113, 112, -322.5806, 72.98, 0
180, 193, 112, -36.3636, 320.29, 0
181, 112, 236, -16.4474, 320.29, 0
182, 112, 283, -12.0773, 320.29, 0
183, 372, 112, -51.8135, 320.29, 0
184, 112, 499, -19.5312, 320.29, 0
185, 115, 114, -294.1176, 6.74, 0
186, 116, 114, -294.1176, 5.26, 0
187, 114, 191, -18.7266, 320.29, 0
188, 114, 312, -15.7480, 320.29, 0
189, 118, 117, -256.4103, 12.8, 0
190, 117, 426, -34.3643, 320.29, 0
191, 490, 117, -36.3636, 320.29, 0
192, 120, 119, -322.5806, 46.58, 0
193, 119, 129, -46.2963, 320.29, 0
194, 253, 119, -69.4444, 320.29, 0
195, 122, 121, -263.1579, 70.42, 0
